x,y,z
-5.677852,-0.584703,0.804774
-5.677852,-0.494788,0.856999
-5.677852,-0.400904,0.900445
-5.677852,-0.303846,0.935142
-5.677852,-0.204207,0.960719
-5.677852,-0.102634,0.976502
-5.677852,0.0,0.98185
-5.677852,0.102634,0.976502
-5.677852,0.204207,0.960719
-5.677852,0.303846,0.935142
-5.677852,0.400904,0.900445
-5.677852,0.494788,0.856999
-5.677852,0.584703,0.804774
-5.677852,0.669472,0.743524
-5.677852,0.722394,0.697608
-5.677852,0.836374,-0.564142
-5.677852,0.895234,-0.476004
-5.677852,0.912907,0.445254
-5.677852,0.982775,-0.281806
-5.677852,1.008855,-0.177888
-5.677852,0.99815,0.212163
-5.597315,-1.021935,-0.071461
-5.597315,-1.001404,-0.212855
-5.597315,-1.00504,0.177216
-5.597315,-0.968106,0.314557
-5.597315,-0.928939,-0.413591
-5.597315,-0.877894,0.506852
-5.597315,-0.817423,0.593893
-5.597315,-0.744796,-0.670618
-5.597315,-0.669279,0.74331
-5.597315,-0.584443,0.804417
-5.597315,-0.494508,0.856513
-5.597315,-0.400666,0.899911
-5.597315,-0.303691,0.934666
-5.597315,-0.204134,0.960373
-5.597315,-0.102612,0.976286
-5.597315,0.0,0.981689
-5.597315,0.102612,0.976286
-5.597315,0.204134,0.960373
-5.597315,0.303691,0.934666
-5.597315,0.400666,0.899911
-5.597315,0.494508,0.856513
-5.597315,0.584443,0.804417
-5.597315,0.669279,0.74331
-5.597315,0.722246,0.697464
-5.597315,0.835913,-0.56383
-5.597315,0.89485,-0.4758
-5.597315,0.912576,0.445093
-5.597315,0.982604,-0.281757
-5.597315,1.008683,-0.177858
-5.597315,0.997575,0.212041
-5.516779,-1.021654,-0.071441
-5.516779,-1.0085,-0.177826
-5.516779,-1.004475,0.177116
-5.516779,-0.967586,0.314388
-5.516779,-0.928632,-0.413454
-5.516779,-0.877655,0.506714
-5.516779,-0.817275,0.593785
-5.516779,-0.72209,0.697314
-5.516779,-0.613117,0.784754
-5.516779,-0.524691,0.83968
-5.516779,-0.432069,0.885873
-5.516779,-0.336145,0.923551
-5.516779,-0.237474,0.952456
-5.516779,-0.136586,0.971859
-5.516779,-0.034254,0.980907
-5.516779,0.068464,0.979085
-5.516779,0.17042,0.966502
-5.516779,0.27064,0.943834
-5.516779,0.368449,0.911942
-5.516779,0.463344,0.871424
-5.516779,0.55469,0.822362
-5.516779,0.641437,0.764435
-5.516779,0.771639,0.647482
-5.516779,0.817275,0.593785
-5.516779,0.877655,0.506714
-5.516779,0.958103,-0.348721
-5.516779,0.978547,0.280594
-5.516779,1.018705,-0.10707
-5.516779,1.021654,-0.071441
-5.436242,-1.022959,0.0
-5.436242,-1.018456,-0.107044
-5.436242,-0.970722,-0.315407
-5.436242,-0.957864,-0.348634
-5.436242,-0.911904,0.444765
-5.436242,-0.858438,0.536412
-5.436242,-0.794826,0.620986
-5.436242,-0.668879,0.742866
-5.436242,-0.583922,0.803699
-5.436242,-0.493952,0.85555
-5.436242,-0.400195,0.898852
-5.436242,-0.303382,0.933714
-5.436242,-0.203984,0.959669
-5.436242,-0.102564,0.975828
-5.436242,0.0,0.981332
-5.436242,0.102564,0.975828
-5.436242,0.203984,0.959669
-5.436242,0.303382,0.933714
-5.436242,0.400195,0.898852
-5.436242,0.493952,0.85555
-5.436242,0.583922,0.803699
-5.436242,0.695806,0.720528
-5.436242,0.794826,0.620986
-5.436242,0.858438,0.536412
-5.436242,0.92832,-0.413315
-5.436242,0.941781,0.380504
-5.436242,0.992354,-0.247422
-5.436242,1.015298,0.106712
-5.436242,1.022959,0.0
-5.355705,-0.992164,-0.247374
-5.355705,-1.014788,0.106659
-5.355705,-0.987238,0.246146
-5.355705,-0.941347,0.380329
-5.355705,-0.893693,-0.475185
-5.355705,-0.834544,-0.562907
-5.355705,-0.771345,0.647235
-5.355705,-0.640987,0.763899
-5.355705,-0.554146,0.821555
-5.355705,-0.462809,0.870417
-5.355705,-0.36803,0.910907
-5.355705,-0.270388,0.942956
-5.355705,-0.17031,0.965877
-5.355705,-0.068435,0.978662
-5.355705,0.03424,0.980517
-5.355705,0.136509,0.971314
-5.355705,0.237275,0.951659
-5.355705,0.335781,0.92255
-5.355705,0.431562,0.884834
-5.355705,0.524136,0.838793
-5.355705,0.612628,0.784128
-5.355705,0.721758,0.696994
-5.355705,0.834544,-0.562907
-5.355705,0.893693,-0.475185
-5.355705,0.911564,0.4446
-5.355705,0.982033,-0.281593
-5.355705,1.008105,-0.177756
-5.355705,1.00336,0.176919
-5.275168,-1.02077,-0.071379
-5.275168,-1.007892,-0.177718
-5.275168,-1.002813,0.176823
-5.275168,-0.966051,0.313889
-5.275168,-0.927687,-0.413033
-5.275168,-0.876903,0.50628
-5.275168,-0.81678,0.593426
-5.275168,-0.721583,0.696824
-5.275168,-0.612383,0.783814
-5.275168,-0.523862,0.838355
-5.275168,-0.431314,0.884324
-5.275168,-0.335601,0.922057
-5.275168,-0.237176,0.95126
-5.275168,-0.13647,0.971032
-5.275168,-0.034233,0.980307
-5.275168,0.068419,0.978436
-5.275168,0.170254,0.965558
-5.275168,0.270263,0.94252
-5.275168,0.367825,0.910398
-5.275168,0.462546,0.869922
-5.275168,0.553876,0.821156
-5.275168,0.640759,0.763627
-5.275168,0.771185,0.647101
-5.275168,0.81678,0.593426
-5.275168,0.876903,0.50628
-5.275168,0.957363,-0.348452
-5.275168,0.976931,0.28013
-5.275168,1.017936,-0.106989
-5.275168,1.02077,-0.071379
-5.194631,-1.021802,0.0
-5.194631,-1.017666,-0.106961
-5.194631,-0.970038,-0.315184
-5.194631,-0.957103,-0.348357
-5.194631,-0.910881,0.444266
-5.194631,-0.857776,0.535998
-5.194631,-0.79434,0.620606
-5.194631,-0.668252,0.742169
-5.194631,-0.583143,0.802628
-5.194631,-0.493139,0.854141
-5.194631,-0.399509,0.897311
-5.194631,-0.302926,0.932311
-5.194631,-0.203755,0.958593
-5.194631,-0.102485,0.975077
-5.194631,0.0,0.980716
-5.194631,0.102485,0.975077
-5.194631,0.203755,0.958593
-5.194631,0.302926,0.932311
-5.194631,0.399509,0.897311
-5.194631,0.493139,0.854141
-5.194631,0.583143,0.802628
-5.194631,0.695234,0.719936
-5.194631,0.79434,0.620606
-5.194631,0.857776,0.535998
-5.194631,0.927366,-0.41289
-5.194631,0.940488,0.379982
-5.194631,0.991752,-0.247271
-5.194631,1.013786,0.106553
-5.194631,1.021802,0.0
-5.114094,-1.000226,-0.212605
-5.114094,-1.013296,0.106502
-5.114094,-0.985622,0.245743
-5.114094,-0.940065,0.379811
-5.114094,-0.892545,-0.474575
-5.114094,-0.833224,-0.562016
-5.114094,-0.770843,0.646814
-5.114094,-0.640299,0.763079
-5.114094,-0.553346,0.82037
-5.114094,-0.462034,0.868959
-5.114094,-0.367424,0.909406
-5.114094,-0.270016,0.941658
-5.114094,-0.170139,0.964909
-5.114094,-0.068385,0.977956
-5.114094,0.034217,0.979855
-5.114094,0.136388,0.97045
-5.114094,0.236978,0.950465
-5.114094,0.335251,0.921093
-5.114094,0.43083,0.883333
-5.114094,0.523327,0.837498
-5.114094,0.611893,0.783187
-5.114094,0.721215,0.696469
-5.114094,0.833224,-0.562016
-5.114094,0.892545,-0.474575
-5.114094,0.910539,0.444099
-5.114094,0.981375,-0.281405
-5.114094,1.007437,-0.177638
-5.114094,1.008107,0.14168
-5.033557,-1.021135,-0.035659
-5.033557,-1.017105,-0.106902
-5.033557,-1.001229,0.176544
-5.033557,-0.964582,0.313412
-5.033557,-0.92672,-0.412603
-5.033557,-0.876108,0.505821
-5.033557,-0.816213,0.593014
-5.033557,-0.721022,0.696283
-5.033557,-0.61165,0.782876
-5.033557,-0.523066,0.837081
-5.033557,-0.430596,0.882853
-5.033557,-0.33508,0.920625
-5.033557,-0.23688,0.950072
-5.033557,-0.136346,0.970151
-5.033557,-0.034209,0.979615
-5.033557,0.068368,0.977704
-5.033557,0.170081,0.96458
-5.033557,0.27056,-0.943556
-5.033557,0.36723,0.908926
-5.033557,0.461786,0.868493
-5.033557,0.553087,0.819985
-5.033557,0.640069,0.762804
-5.033557,0.77066,0.646661
-5.033557,0.816213,0.593014
-5.033557,0.876108,0.505821
-5.033557,0.956566,-0.348161
-5.033557,0.975391,0.279689
-5.033557,1.017105,-0.106902
-5.033557,1.001229,0.176544
-4.95302,-0.991061,-0.247099
-4.95302,-1.01916,0.03559
-4.95302,-0.969284,-0.314939
-4.95302,-0.956289,-0.348061
-4.95302,-0.909858,0.443768
-4.95302,-0.85706,0.535551
-4.95302,-0.793781,0.62017
-4.95302,-0.667602,0.741447
-4.95302,-0.582384,0.801583
-4.95302,-0.492369,0.852808
-4.95302,-0.398862,0.895859
-4.95302,-0.302489,0.930965
-4.95302,-0.203525,0.95751
-4.95302,-0.102399,0.97426
-4.95302,0.0,0.980009
-4.95302,0.102399,0.97426
-4.95302,0.203525,0.95751
-4.95302,0.302489,0.930965
-4.95302,0.398862,0.895859
-4.95302,0.492369,0.852808
-4.95302,0.582384,0.801583
-4.95302,0.694623,0.719304
-4.95302,0.793781,0.62017
-4.95302,0.85706,0.535551
-4.95302,0.926397,-0.412459
-4.95302,0.939238,0.379477
-4.95302,0.991061,-0.247099
-4.95302,1.01916,0.03559
-4.95302,1.020786,-0.035647
-4.872483,-1.006688,-0.177506
-4.872483,-1.011882,0.106353
-4.872483,-0.984115,0.245367
-4.872483,-0.938835,0.379314
-4.872483,-0.891433,-0.473983
-4.872483,-0.831984,-0.561181
-4.872483,-0.770274,0.646337
-4.872483,-0.639608,0.762256
-4.872483,-0.552584,0.819239
-4.872483,-0.46131,0.867599
-4.872483,-0.366856,0.908001
-4.872483,-0.269658,0.940408
-4.872483,-0.169965,0.963918
-4.872483,-0.068331,0.977174
-4.872483,0.034191,0.979108
-4.872483,0.13626,0.969542
-4.872483,0.236686,0.949298
-4.872483,0.334751,0.91972
-4.872483,0.430148,0.881934
-4.872483,0.522563,0.836275
-4.872483,0.611169,0.782261
-4.872483,0.720623,0.695897
-4.872483,0.831984,-0.561181
-4.872483,0.891433,-0.473983
-4.872483,0.909521,0.443603
-4.872483,0.980639,-0.281194
-4.872483,1.006688,-0.177506
-4.872483,1.011882,0.106353
-4.791946,-1.020089,-0.035622
-4.791946,-1.018881,-0.071247
-4.791946,-0.999763,0.176285
-4.791946,-0.963212,0.312967
-4.791946,-0.925753,-0.412172
-4.791946,-0.875285,0.505346
-4.791946,-0.815581,0.592554
-4.791946,-0.720416,0.695698
-4.791946,-0.610933,0.781959
-4.791946,-0.522321,0.835888
-4.791946,-0.429934,0.881496
-4.791946,-0.334593,0.919287
-4.791946,-0.236592,0.948918
-4.791946,-0.136217,0.969233
-4.791946,-0.034182,0.978841
-4.791946,0.068311,0.976899
-4.791946,0.169906,0.963586
-4.791946,0.270286,-0.942598
-4.791946,0.366678,0.90756
-4.791946,0.461084,0.867172
-4.791946,0.552341,0.818878
-4.791946,0.63938,0.761983
-4.791946,0.770072,0.646167
-4.791946,0.815581,0.592554
-4.791946,0.875285,0.505346
-4.791946,0.955723,-0.347855
-4.791946,0.973965,0.27928
-4.791946,1.016223,-0.106809
-4.791946,1.006171,0.141408
-4.711409,-1.006149,-0.177411
-4.711409,-1.017955,0.035548
-4.711409,-0.968473,-0.314676
-4.711409,-0.955435,-0.34775
-4.711409,-0.908858,0.44328
-4.711409,-0.856304,0.535078
-4.711409,-0.793159,0.619684
-4.711409,-0.666941,0.740713
-4.711409,-0.581662,0.800589
-4.711409,-0.491661,0.851582
-4.711409,-0.398271,0.894532
-4.711409,-0.30208,0.929707
-4.711409,-0.203299,0.956444
-4.711409,-0.102307,0.97339
-4.711409,0.0,0.97922
-4.711409,0.102307,0.97339
-4.711409,0.203299,0.956444
-4.711409,0.30208,0.929707
-4.711409,0.398271,0.894532
-4.711409,0.491661,0.851582
-4.711409,0.581662,0.800589
-4.711409,0.693986,0.718643
-4.711409,0.809669,-0.588259
-4.711409,0.856304,0.535078
-4.711409,0.925433,-0.412029
-4.711409,0.938058,0.379
-4.711409,0.990292,-0.246908
-4.711409,1.019743,-0.03561
-4.711409,0.999307,0.176205
-4.630872,-1.015615,-0.106745
-4.630872,-1.010581,0.106216
-4.630872,-0.982753,0.245028
-4.630872,-0.937685,0.37885
-4.630872,-0.890381,-0.473424
-4.630872,-0.836174,0.564006
-4.630872,-0.769648,0.645811
-4.630872,-0.581432,0.800273
-4.630872,-0.491442,0.851202
-4.630872,-0.398089,0.894122
-4.630872,-0.301952,0.929313
-4.630872,-0.203225,0.956096
-4.630872,-0.102276,0.97309
-4.630872,0.0,0.978941
-4.630872,0.102276,0.97309
-4.630872,0.203225,0.956096
-4.630872,0.301952,0.929313
-4.630872,0.398089,0.894122
-4.630872,0.491442,0.851202
-4.630872,0.581432,0.800273
-4.630872,0.769648,0.645811
-4.630872,0.815128,0.592226
-4.630872,0.874729,0.505025
-4.630872,0.955144,-0.347644
-4.630872,0.973094,0.27903
-4.630872,1.015615,-0.106745
-4.630872,1.010581,0.106216
-4.550336,-1.011206,-0.142116
-4.550336,-1.014301,0.070927
-4.550336,-0.979556,-0.280883
-4.550336,-0.954851,-0.347537
-4.550336,-0.908213,0.442965
-4.550336,-0.855784,0.534753
-4.550336,-0.792713,0.619336
-4.550336,-0.610581,-0.781508
-4.550336,-0.524582,-0.839507
-4.550336,-0.43272,-0.887207
-4.550336,-0.336172,-0.923624
-4.550336,-0.236578,-0.948864
-4.550336,-0.135485,-0.964024
-4.550336,-0.033891,-0.970524
-4.550336,0.067776,-0.969245
-4.550336,0.169274,-0.96
-4.550336,0.269215,0.938864
-4.550336,0.368777,-0.912756
-4.550336,0.463933,-0.872532
-4.550336,0.553937,-0.821246
-4.550336,0.637846,-0.760155
-4.550336,0.808964,-0.587746
-4.550336,0.855784,0.534753
-4.550336,0.924803,-0.411749
-4.550336,0.937324,0.378704
-4.550336,0.961976,0.312565
-4.550336,1.019058,-0.035586
-4.550336,0.99845,0.176054
-4.469799,-1.017588,-0.071157
-4.469799,-1.004484,0.141171
-4.469799,-0.981941,0.244825
-4.469799,-0.936976,0.378563
-4.469799,-0.889724,-0.473075
-4.469799,-0.835677,0.563671
-4.469799,-0.769203,0.645438
-4.469799,-0.638487,0.760919
-4.469799,-0.55144,0.817544
-4.469799,-0.460264,0.865631
-4.469799,-0.366032,0.90596
-4.469799,-0.269113,0.938507
-4.469799,-0.169674,0.96227
-4.469799,-0.06823,0.975736
-4.469799,0.034142,0.977703
-4.469799,0.13604,0.967977
-4.469799,0.236232,0.947476
-4.469799,0.334017,0.917705
-4.469799,0.429164,0.879916
-4.469799,0.521437,0.834473
-4.469799,0.610031,0.780805
-4.469799,0.73956,-0.665903
-4.469799,0.830177,-0.559962
-4.469799,0.889724,-0.473075
-4.469799,0.9079,0.442812
-4.469799,0.97927,-0.280801
-4.469799,1.005291,-0.17726
-4.469799,1.016831,0.035509
-4.389262,-0.997847,-0.212099
-4.389262,-1.018108,0.0
-4.389262,-0.990153,0.210463
-4.389262,-0.96124,0.312326
-4.389262,-0.92419,-0.411476
-4.389262,-0.873894,0.504543
-4.389262,-0.786029,-0.614113
-4.389262,-0.714851,-0.690323
-4.389262,-0.609819,0.780533
-4.389262,-0.521239,0.834156
-4.389262,-0.428995,0.87957
-4.389262,-0.333889,0.917352
-4.389262,-0.236148,0.947138
-4.389262,-0.135996,0.967662
-4.389262,-0.034132,0.977404
-4.389262,0.068209,0.975432
-4.389262,0.169617,0.961948
-4.389262,0.269014,0.938162
-4.389262,0.365889,0.905607
-4.389262,0.460084,0.865293
-4.389262,0.551236,0.817241
-4.389262,0.638272,0.760663
-4.389262,0.768973,0.645245
-4.389262,0.814411,0.591704
-4.389262,0.873893,0.504542
-4.389262,0.954261,-0.347323
-4.389262,0.981567,0.244732
-4.389262,1.014685,-0.106648
-4.389262,1.009421,0.106094
-4.308725,-1.010297,-0.141988
-4.308725,-1.013217,0.070851
-4.308725,-0.988872,-0.246554
-4.308725,-0.953966,-0.347215
-4.308725,-0.907296,0.442518
-4.308725,-0.854991,0.534258
-4.308725,-0.792007,0.618784
-4.308725,-0.689486,-0.713984
-4.308725,-0.580582,0.799103
-4.308725,-0.490663,0.849852
-4.308725,-0.397446,0.892678
-4.308725,-0.301488,0.927884
-4.308725,-0.202941,0.954764
-4.308725,-0.102147,0.971863
-4.308725,0.0,0.977759
-4.308725,0.102147,0.971863
-4.308725,0.202941,0.954764
-4.308725,0.301488,0.927884
-4.308725,0.397446,0.892678
-4.308725,0.490663,0.849852
-4.308725,0.580582,0.799103
-4.308725,0.689486,-0.713984
-4.308725,0.808034,-0.587071
-4.308725,0.854989,0.534257
-4.308725,0.923891,-0.411343
-4.308725,0.936318,0.378297
-4.308725,0.971582,0.278597
-4.308725,1.016948,-0.071112
-4.308725,1.003755,0.141069
-4.228188,-1.016632,-0.07109
-4.228188,-1.003424,0.141022
-4.228188,-0.980889,0.244563
-4.228188,-0.936015,0.378175
-4.228188,-0.890767,0.473629
-4.228188,-0.834911,0.563154
-4.228188,-0.768503,0.644851
-4.228188,-0.637855,0.760166
-4.228188,-0.550856,0.816678
-4.228188,-0.459757,0.864676
-4.228188,-0.365628,0.904962
-4.228188,-0.268828,0.937516
-4.228188,-0.169506,0.961316
-4.228188,-0.068166,0.974816
-4.228188,0.03411,0.97679
-4.228188,0.135908,0.967036
-4.228188,0.235988,0.946495
-4.228188,0.333653,0.916704
-4.228188,0.428688,0.878941
-4.228188,0.520874,0.833573
-4.228188,0.609413,0.780013
-4.228188,0.73876,-0.665182
-4.228188,0.829288,-0.559362
-4.228188,0.888821,-0.472595
-4.228188,0.907,0.442374
-4.228188,0.978388,-0.280548
-4.228188,0.997247,-0.211971
-4.228188,1.017451,0.0
-4.147651,-0.996941,-0.211906
-4.147651,-1.017139,0.0
-4.147651,-0.966437,-0.314015
-4.147651,-0.960285,0.312015
-4.147651,-0.923313,-0.411085
-4.147651,-0.84975,-0.530982
-4.147651,-0.785232,-0.61349
-4.147651,-0.714129,-0.689627
-4.147651,-0.609221,0.779767
-4.147651,-0.520709,0.833308
-4.147651,-0.428551,0.87866
-4.147651,-0.333546,0.916411
-4.147651,-0.235912,0.946192
-4.147651,-0.135865,0.966727
-4.147651,-0.034099,0.976477
-4.147651,0.068144,0.974504
-4.147651,0.169452,0.961008
-4.147651,0.268742,0.937215
-4.147651,0.365511,0.904672
-4.147651,0.45961,0.8644
-4.147651,0.550681,0.816419
-4.147651,0.637653,0.759925
-4.147651,0.768259,0.644646
-4.147651,0.813654,0.591154
-4.147651,0.873063,0.504063
-4.147651,0.953377,-0.347001
-4.147651,0.989154,0.210251
-4.147651,1.009679,-0.141901
-4.147651,1.012572,0.070806
-4.067114,-1.009369,-0.141858
-4.067114,-1.012282,0.070786
-4.067114,-0.987962,-0.246327
-4.067114,-0.953085,-0.346894
-4.067114,-0.906453,0.442107
-4.067114,-0.854196,0.533761
-4.067114,-0.791268,0.618207
-4.067114,-0.688836,-0.71331
-4.067114,-0.580032,0.798345
-4.067114,-0.490194,0.849041
-4.067114,-0.397065,0.891822
-4.067114,-0.301198,0.926993
-4.067114,-0.202746,0.953847
-4.067114,-0.102049,0.970931
-4.067114,0.0,0.976822
-4.067114,0.102049,0.970931
-4.067114,0.202746,0.953847
-4.067114,0.301198,0.926993
-4.067114,0.397065,0.891822
-4.067114,0.490194,0.849041
-4.067114,0.580031,0.798344
-4.067114,0.688836,-0.71331
-4.067114,0.807276,-0.58652
-4.067114,0.869357,-0.501923
-4.067114,0.923035,-0.410961
-4.067114,0.948245,0.345133
-4.067114,0.980286,0.244413
-4.067114,1.016011,-0.071046
-4.067114,1.002815,0.140936
-3.986577,-1.015711,-0.071025
-3.986577,-1.002566,0.140901
-3.986577,-0.980055,0.244355
-3.986577,-0.935196,0.377844
-3.986577,-0.889959,0.4732
-3.986577,-0.834131,0.562628
-3.986577,-0.767778,0.644242
-3.986577,-0.637269,0.759468
-3.986577,-0.550365,0.815949
-3.986577,-0.459352,0.863916
-3.986577,-0.365305,0.904161
-3.986577,-0.268584,0.936664
-3.986577,-0.169347,0.960412
-3.986577,-0.0681,0.973876
-3.986577,0.034077,0.975844
-3.986577,0.135779,0.966118
-3.986577,0.235771,0.945625
-3.986577,0.333356,0.915887
-3.986577,0.428312,0.878169
-3.986577,0.520412,0.832833
-3.986577,0.608855,0.779299
-3.986577,0.738118,-0.664605
-3.986577,0.828571,-0.558878
-3.986577,0.888035,-0.472176
-3.986577,0.906134,0.441951
-3.986577,0.965842,-0.313821
-3.986577,0.99632,-0.211774
-3.986577,1.016538,0.0
-3.90604,-0.996008,-0.211708
-3.90604,-1.016272,0.0
-3.90604,-0.965545,-0.313725
-3.90604,-0.938136,-0.379032
-3.90604,-0.922504,-0.410725
-3.90604,-0.849066,-0.530555
-3.90604,-0.784617,-0.61301
-3.90604,-0.713555,-0.689073
-3.90604,-0.608691,0.779088
-3.90604,-0.520283,0.832627
-3.90604,-0.42821,0.87796
-3.90604,-0.333273,0.915659
-3.90604,-0.235705,0.945362
-3.90604,-0.135737,0.96582
-3.90604,-0.034066,0.975526
-3.90604,0.068078,0.973562
-3.90604,0.169296,0.960125
-3.90604,0.268512,0.936414
-3.90604,0.365216,0.903941
-3.90604,0.459242,0.863708
-3.90604,0.55022,0.815734
-3.90604,0.637076,0.759238
-3.90604,0.767487,0.643998
-3.90604,0.812822,0.59055
-3.90604,0.872179,0.503553
-3.90604,0.952509,-0.346685
-3.90604,0.987342,-0.246172
-3.90604,1.008743,-0.14177
-3.90604,1.011714,0.070746
-3.825503,-1.00844,-0.141727
-3.825503,-1.011517,0.070732
-3.825503,-0.987033,-0.246095
-3.825503,-0.959322,0.311703
-3.825503,-0.905704,0.441742
-3.825503,-0.853416,0.533273
-3.825503,-0.790512,0.617616
-3.825503,-0.688316,-0.712772
-3.825503,-0.579568,0.797707
-3.825503,-0.489837,0.848422
-3.825503,-0.39678,0.891182
-3.825503,-0.300966,0.926278
-3.825503,-0.202571,0.953023
-3.825503,-0.101952,0.97001
-3.825503,0.0,0.975862
-3.825503,0.101952,0.97001
-3.825503,0.202571,0.953023
-3.825503,0.300966,0.926278
-3.825503,0.396779,0.891181
-3.825503,0.489834,0.848418
-3.825503,0.579559,0.797694
-3.825503,0.688316,-0.712772
-3.825503,0.806706,-0.586106
-3.825503,0.868695,-0.501542
-3.825503,0.922252,-0.410613
-3.825503,0.947331,0.3448
-3.825503,0.979438,0.244201
-3.825503,1.015102,-0.070983
-3.825503,1.001996,0.140821
-3.744966,-1.014843,-0.070965
-3.744966,-1.001927,0.140812
-3.744966,-0.979457,0.244206
-3.744966,-0.934535,0.377577
-3.744966,-0.889221,0.472807
-3.744966,-0.833355,0.562105
-3.744966,-0.767043,0.643626
-3.744966,-0.636743,0.758841
-3.744966,-0.549975,0.815371
-3.744966,-0.459061,0.863367
-3.744966,-0.365068,0.903575
-3.744966,-0.268385,0.935968
-3.744966,-0.169199,0.959577
-3.744966,-0.068034,0.972936
-3.744966,0.034044,0.974888
-3.744966,0.135656,0.965241
-3.744966,0.235586,0.944883
-3.744966,0.333131,0.915271
-3.744966,0.428041,0.877613
-3.744966,0.520054,0.83226
-3.744966,0.608353,0.778657
-3.744966,0.73765,-0.664183
-3.744966,0.828039,-0.558519
-3.744966,0.88738,-0.471828
-3.744966,0.905014,0.441405
-3.744966,0.964956,-0.313533
-3.744966,0.995372,-0.211573
-3.744966,1.015676,0.0
-3.66443,-0.995068,-0.211508
-3.66443,-1.015526,0.0
-3.66443,-0.964669,-0.31344
-3.66443,-0.937356,-0.378716
-3.66443,-0.921781,-0.410403
-3.66443,-0.84856,-0.530239
-3.66443,-0.784199,-0.612683
-3.66443,-0.713141,-0.688672
-3.66443,-0.60824,0.778512
-3.66443,-0.519969,0.832125
-3.66443,-0.427977,0.877483
-3.66443,-0.333074,0.915113
-3.66443,-0.235532,0.944667
-3.66443,-0.135616,0.964961
-3.66443,-0.034033,0.97457
-3.66443,0.068013,0.972627
-3.66443,0.169153,0.959317
-3.66443,0.268329,0.935773
-3.66443,0.365008,0.903427
-3.66443,0.458984,0.863224
-3.66443,0.549847,0.815182
-3.66443,0.636508,0.75856
-3.66443,0.766464,0.64314
-3.66443,0.81162,0.589677
-3.66443,0.870792,0.502752
-3.66443,0.951675,-0.346381
-3.66443,0.986402,-0.245938
-3.66443,1.007794,-0.141636
-3.66443,1.010835,0.070684
